Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ffrU3uS4eF3oTXrvOabps,เรื่องจริง,Songs From Different Scenes #5,Boyd Kosiyabong;Pod Thanachai Ujjin,2008-01-01,272393,50,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai rock",The Flying Tomato Music,0.748,0.599,0,-7.44,1,0.0482,0.163,0.00000119,0.394,0.399,96.028,4
spotify:track:1Cxu4vV0muCJXklVVrpGlQ,เพลงที่เธอ(เคย)ชอบฟัง [Decibel],I’M GOING TO KEEP RUNNING AWAY,AYLA's,2024-03-28,298666,36,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop",WM/Thailand,0.336,0.495,4,-14.22,1,0.0341,0.0159,0.00026,0.0978,0.384,179.986,4
spotify:track:4nKBoabeUJKycWFScPi1yJ,Prince,The Studio Album Collection,Deftones,2016-04-07,216560,24,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,0.402,0.945,5,-5.68,0,0.0899,0.00000915,0.328,0.113,0.239,149.976,4
spotify:track:0CWoWaUVXJfmhMqu4QSZb2,สถานีต่อไป,รักสนิยม,Apartment Khunpa,2016-03-06,241440,42,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop",GMM Music Public Company Limited,0.748,0.562,11,-5.816,1,0.0504,0.174,0.000101,0.11,0.637,115.011,4
spotify:track:2VenuGVCif9Xn9qnSJ9NBQ,ไม่รู้ตัว,Baby Boom,The Bottom Blues,2012-11-22,242173,18,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai pop,t-pop,thai rock",GMM Music Public Company Limited,0.625,0.325,0,-11.767,1,0.0374,0.781,0,0.115,0.482,171.98,3
spotify:track:1Se8kxvTc1Gqp6vgwGYBot,ถามจันทร์,25 Hours,25 hours,2015-12-16,241400,43,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,t-pop,phleng phuea chiwit",Believe Records,0.59,0.627,6,-5.447,0,0.0278,0.189,0.000801,0.113,0.584,120.016,4
spotify:track:6DH13QYXK7lKkYHSU88N48,Who Knows,Son Of Spergy,Daniel Caesar,2025-10-24,226283,90,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,Republic Records,0.674,0.257,5,-14.948,0,0.0355,0.756,0.0000138,0.362,0.391,120.902,4
spotify:track:5oSQYeV8Olb1ggZKqd7nOC,"Today, Last Year",Pod Pong May-T,Moderndog,2016-08-14,269934,42,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie pop,phleng phuea chiwit",Moderndog Company Limited,0.357,0.651,0,-6.609,1,0.033,0.438,0.0000233,0.157,0.39,161.83,4
spotify:track:5gehgoBI9iHTVsVDNE0Y7O,Cloud,Pod Pong May-T,Moderndog,2016-08-14,265506,32,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie pop,phleng phuea chiwit",Moderndog Company Limited,0.347,0.609,5,-6.108,1,0.031,0.24,0,0.159,0.496,181.968,4
spotify:track:1R3Us73ccyFLAaLjYSfyxr,อรอนงค์,Smallroom 007 - Boutique,The Jukks,2009-11-01,199760,31,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,thai indie rock,phleng phuea chiwit",Smallroom,0.625,0.841,2,-3.749,1,0.0282,0.0236,0,0.159,0.927,105.003,4
spotify:track:1E5Obpjd5vcADp2vGyp40I,Lipstick on Lipstick,Somros Lae Para,Apartment Khunpa,2008-08-08,242091,28,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop","Here Co., Ltd.",0.557,0.425,7,-7.607,1,0.0257,0.258,0.000751,0.0812,0.36,135.995,4
spotify:track:1gzWd0ILFaCoHUfQSkCIvl,Minerva,Deftones,Deftones,2003,257813,65,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.349,0.934,3,-5.518,0,0.0644,0.000152,0.623,0.281,0.0788,124.055,4
spotify:track:198pPjDG0juHRjechZrWer,ฝากให้เขารัก,ฝากให้เขารัก,Yes'sir Days,2025-07-09,256946,72,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"thai rock,thai pop,t-pop,southern thai music",GMM Music Public Company Limited,0.463,0.875,3,-4.049,1,0.0437,0.0352,0,0.125,0.528,157.966,4
spotify:track:5ljzYD63MsETzHcd21wFd4,Chuckii's Jam,Chuckii's Jam,The Free Label,2025-09-19,193750,40,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,,The Free Label,0.817,0.78,1,-6.936,1,0.173,0.0632,0.0727,0.286,0.574,135.854,4
spotify:track:2nJ4y4XFQx34TFO02aotaP,Rats!Rats!Rats!,Saturday Night Wrist,Deftones,2006-10-25,240840,47,true,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.201,0.929,4,-4.603,1,0.0423,0.00000446,0.876,0.369,0.392,82.094,5
spotify:track:0yYhHwr52ZtgdhQJlwQCOt,Xerces,Saturday Night Wrist,Deftones,2006-10-25,221800,57,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.547,0.736,7,-5.267,0,0.0346,0.000598,0.25,0.469,0.252,120.041,4
spotify:track:35jyxg80z7cV6rUZhMctyj,Mein,Saturday Night Wrist,Deftones,2006-10-25,238040,53,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.428,0.932,9,-2.746,1,0.0515,0.00000847,0.574,0.0763,0.239,124.99,4
spotify:track:2nKbkr2iMXHJ0P5C458JEO,Rapture,Saturday Night Wrist,Deftones,2006-10-25,205520,48,true,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Maverick,0.386,0.984,4,-3.454,0,0.0696,0.0000356,0.638,0.387,0.344,156.159,4
spotify:track:3GO5e4FrArjjmjViEsrtrD,cXz,private music,Deftones,2025-08-22,192728,58,false,31muzeyd7ogv6ze2sh53cip4fs2u,2026-02-20T13:49:05Z,"nu metal,alternative metal,rap metal,shoegaze,rock",Reprise,0.287,0.971,11,-2.765,0,0.0806,0.0000174,0.859,0.0819,0.102,176.056,4
